file,label,method,prediction,correct,error,warning
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_01_label-0.png,0,grayscale,0,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_01_label-0.png,0,fixed,0,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_01_label-0.png,0,otsu,0,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_02_label-2.png,2,grayscale,2,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_02_label-2.png,2,fixed,2,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_02_label-2.png,2,otsu,2,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_03_label-6.png,6,grayscale,6,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_03_label-6.png,6,fixed,6,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_03_label-6.png,6,otsu,6,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_04_label-7.png,7,grayscale,2,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_04_label-7.png,7,fixed,2,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_04_label-7.png,7,otsu,2,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_05_label-9.png,9,grayscale,7,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_05_label-9.png,9,fixed,7,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Haresh\Haresh_05_label-9.png,9,otsu,7,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_01_label-4.jpg,4,grayscale,4,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_01_label-4.jpg,4,fixed,4,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_01_label-4.jpg,4,otsu,4,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_02_label-7.jpg,7,grayscale,8,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_02_label-7.jpg,7,fixed,7,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_02_label-7.jpg,7,otsu,7,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_03_label-1.jpg,1,grayscale,1,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_03_label-1.jpg,1,fixed,1,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_03_label-1.jpg,1,otsu,1,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_04_label-8.jpg,8,grayscale,8,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_04_label-8.jpg,8,fixed,8,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_04_label-8.jpg,8,otsu,8,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_05_label-9.jpg,9,grayscale,4,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_05_label-9.jpg,9,fixed,4,0,,
