file,label,method,expected_count,detected_count,count_correct,prediction,exact_correct,edit_distance,segmentation_ms,warnings,error
data\segmentation_photos\Haresh\Haresh_01_label-0.png,0,components,1,1,1,0,1,0,27.282,,
data\segmentation_photos\Haresh\Haresh_01_label-0.png,0,projection,1,1,1,0,1,0,24.82,,
data\segmentation_photos\Haresh\Haresh_02_label-2.png,2,components,1,1,1,2,1,0,18.267,,
data\segmentation_photos\Haresh\Haresh_02_label-2.png,2,projection,1,1,1,2,1,0,21.171,,
data\segmentation_photos\Haresh\Haresh_03_label-6.png,6,components,1,1,1,6,1,0,15.269,,
data\segmentation_photos\Haresh\Haresh_03_label-6.png,6,projection,1,1,1,6,1,0,15.831,,
data\segmentation_photos\Haresh\Haresh_04_label-7.png,7,components,1,1,1,7,1,0,13.578,,
data\segmentation_photos\Haresh\Haresh_04_label-7.png,7,projection,1,1,1,7,1,0,10.435,,
data\segmentation_photos\Haresh\Haresh_05_label-9.png,9,components,1,1,1,7,0,1,16.699,,
data\segmentation_photos\Haresh\Haresh_05_label-9.png,9,projection,1,1,1,7,0,1,20.668,,
data\segmentation_photos\Haresh\Haresh_06_label-14.png,14,components,2,2,1,14,1,0,7.052,,
data\segmentation_photos\Haresh\Haresh_06_label-14.png,14,projection,2,2,1,14,1,0,7.672,,
data\segmentation_photos\Haresh\Haresh_07_label-109.png,109,components,3,3,1,109,1,0,7.351,,
data\segmentation_photos\Haresh\Haresh_07_label-109.png,109,projection,3,3,1,109,1,0,8.183,,
data\segmentation_photos\Haresh\Haresh_08_label-1150.png,1150,components,4,4,1,1150,1,0,7.11,,
data\segmentation_photos\Haresh\Haresh_08_label-1150.png,1150,projection,4,4,1,1150,1,0,6.934,,
data\segmentation_photos\Haresh\Haresh_09_label-1020.png,1020,components,4,4,1,1020,1,0,5.009,,
data\segmentation_photos\Haresh\Haresh_09_label-1020.png,1020,projection,4,4,1,1020,1,0,5.054,,
data\segmentation_photos\Haresh\Haresh_10_label-28.png,28,components,2,2,1,28,1,0,6.521,,
data\segmentation_photos\Haresh\Haresh_10_label-28.png,28,projection,2,2,1,28,1,0,5.599,,
data\segmentation_photos\Manula\Manula_01_label-4.jpg,4,components,1,1,1,4,1,0,87.536,,
data\segmentation_photos\Manula\Manula_01_label-4.jpg,4,projection,1,1,1,4,1,0,91.045,,
data\segmentation_photos\Manula\Manula_02_label-7.jpg,7,components,1,1,1,2,0,1,113.48,,
data\segmentation_photos\Manula\Manula_02_label-7.jpg,7,projection,1,1,1,2,0,1,123.703,,
data\segmentation_photos\Manula\Manula_03_label-1.jpg,1,components,1,1,1,1,1,0,123.638,,
data\segmentation_photos\Manula\Manula_03_label-1.jpg,1,projection,1,1,1,1,1,0,129.208,,
data\segmentation_photos\Manula\Manula_04_label-8.jpg,8,components,1,1,1,8,1,0,123.007,,
data\segmentation_photos\Manula\Manula_04_label-8.jpg,8,projection,1,1,1,8,1,0,89.696,,
