digit,support,precision,recall,f1
0,980,0.9750499001996008,0.996938775510204,0.9858728557013118
1,1135,0.9946761313220941,0.9876651982378855,0.9911582670203359
2,1032,0.9931102362204725,0.9777131782945736,0.9853515625
3,1010,0.974757281553398,0.994059405940594,0.984313725490196
4,982,0.9958890030832477,0.9867617107942973,0.9913043478260869
5,892,0.9898648648648649,0.9854260089686099,0.9876404494382023
6,958,0.9915700737618546,0.9822546972860126,0.9868904037755637
7,1028,0.9806389157792836,0.9854085603112841,0.9830179524502669
8,974,0.9734422880490297,0.9784394250513347,0.9759344598054276
9,1009,0.9840478564307079,0.9781962338949455,0.981113320079523
