length,example,source_test_indices,true_text,predicted_text,correct,minimum_softmax_score
2,0,7835 1715,01,01,1,0.9993320107460022
2,1,9033 5388,49,49,1,0.9999268054962158
2,2,6700 554,47,47,1,0.9972714781761169
2,3,987 7484,73,73,1,0.9997630715370178
2,4,9321 7219,87,87,1,0.9992766976356506
2,5,6839 4063,86,86,1,0.8637588024139404
2,6,2418 1423,19,19,1,0.9971567392349243
2,7,8847 4263,55,55,1,0.9894681572914124
2,8,8022 9585,10,10,1,0.8819450736045837
2,9,5473 3555,58,58,1,0.999420166015625
2,10,5596 8314,34,34,1,0.9988787770271301
2,11,8827 6494,93,93,1,0.9985255599021912
2,12,779 6092,51,51,1,0.9992650151252747
2,13,9657 9697,13,13,1,0.9989542961120605
2,14,1161 9945,69,69,1,0.9975179433822632
2,15,5012 6778,69,69,1,0.9975054860115051
2,16,8716 4365,30,30,1,0.9999500513076782
2,17,4078 2652,92,32,0,0.5515393018722534
2,18,1894 3573,97,97,1,0.965008020401001
2,19,5881 9526,84,84,1,0.9998171925544739
2,20,1860 5404,59,59,1,0.9996912479400635
2,21,3463 9645,41,41,1,0.9933992624282837
2,22,8893 2150,96,96,1,0.999790370464325
2,23,2980 5570,65,65,1,0.9999626874923706
2,24,2332 7613,76,76,1,0.9998175501823425
2,25,9125 5334,37,37,1,0.9997804760932922
2,26,2802 6070,28,28,1,0.9978896975517273
2,27,6652 821,10,10,1,0.997855007648468
2,28,2622 5021,75,75,1,0.9996435642242432
2,29,2571 5471,07,07,1,0.9989808201789856
2,30,1559 9476,92,92,1,0.4696032404899597
2,31,2859 6098,87,87,1,0.9997830986976624
2,32,9858 3950,69,69,1,0.920595109462738
2,33,9629 2432,82,82,1,0.998976469039917
2,34,4106 3631,35,35,1,0.9998425245285034
2,35,7157 4165,38,38,1,0.973905086517334
2,36,8274 4399,98,98,1,0.9654151201248169
2,37,9133 1128,53,53,1,0.997046172618866
2,38,4718 6909,05,05,1,0.9993782043457031
2,39,2701 6475,44,44,1,0.9996898174285889
2,40,2067 2563,07,07,1,0.9980565905570984
2,41,6376 3837,95,95,1,0.9892415404319763
2,42,4511 7450,98,98,1,0.9945181012153625
2,43,6431 7449,20,20,1,0.9999692440032959
2,44,6218 2227,69,69,1,0.9997661709785461
2,45,8577 1984,42,42,1,0.7194095253944397
2,46,1441 5434,88,88,1,0.9325098991394043
2,47,4141 1223,80,80,1,0.9963201284408569
2,48,3317 4878,02,02,1,0.995202898979187
2,49,4145 507,83,83,1,0.9928840398788452
2,50,4271 3881,59,59,1,0.7066488862037659
2,51,8194 9467,09,09,1,0.9994832277297974
2,52,2170 9950,61,61,1,0.9988442659378052
2,53,1797 8544,32,32,1,0.9824153780937195
2,54,1404 5003,08,08,1,0.9989150762557983
2,55,6659 2446,82,82,1,0.9999443292617798
2,56,4687 4055,12,12,1,0.9909034371376038
2,57,4817 8339,88,88,1,0.9857710599899292
2,58,3142 7638,21,21,1,0.9970338344573975
2,59,6567 1817,02,02,1,0.9996819496154785
2,60,3245 1859,88,88,1,0.9965530633926392
2,61,2525 1309,59,59,1,0.9902591705322266
2,62,1427 7678,42,42,1,0.9965560436248779
2,63,1347 1075,71,71,1,0.9908998012542725
2,64,6929 8628,26,26,1,0.9986591339111328
2,65,7936 2182,31,33,0,0.5181498527526855
2,66,7251 8527,44,44,1,0.39122164249420166
2,67,3118 9047,64,64,1,0.9998382329940796
2,68,6415 3401,50,50,1,0.9999209642410278
2,69,8855 8866,58,58,1,0.9999148845672607
2,70,3415 4359,25,25,1,0.9450758695602417
2,71,9762 8059,32,32,1,0.6386005282402039
2,72,279 414,19,19,1,0.9937840700149536
2,73,913 2916,99,99,1,0.9930821061134338
2,74,1761 4698,56,56,1,0.998521625995636
2,75,6766 2719,01,01,1,0.968482255935669
2,76,7561 3001,19,19,1,0.9949530959129333
2,77,491 3133,54,54,1,0.861756443977356
2,78,2117 6361,47,47,1,0.9999496936798096
2,79,9547 2621,22,22,1,0.9999935626983643
2,80,7965 1735,54,54,1,0.9995181560516357
2,81,4339 9032,22,22,1,0.9903473854064941
2,82,4202 5114,57,57,1,0.9989515542984009
2,83,3448 9928,34,34,1,0.9975169897079468
2,84,1298 1429,39,39,1,0.9764792323112488
2,85,9096 1507,17,17,1,0.998206377029419
2,86,6986 3137,74,74,1,0.9991851449012756
2,87,3005 622,94,94,1,0.8403210043907166
2,88,4657 6941,34,34,1,0.9978814721107483
2,89,117 2197,44,44,1,0.9961596727371216
2,90,2901 5382,43,43,1,0.9820559620857239
2,91,6305 6189,28,28,1,0.9991098046302795
2,92,1024 2148,44,44,1,0.516984760761261
2,93,1787 7344,91,91,1,0.9976211190223694
2,94,6704 7634,39,39,1,0.9979873895645142
