digit,support,precision,recall,f1
0,980,0.966933867735471,0.9846938775510204,0.9757330637007078
1,1135,0.9840989399293286,0.9814977973568282,0.9827966475518306
2,1032,0.9715964740450539,0.9612403100775194,0.9663906478324403
3,1010,0.9652087475149106,0.9613861386138614,0.9632936507936509
4,982,0.9636363636363636,0.9714867617107943,0.9675456389452333
5,892,0.9589345172031076,0.968609865470852,0.9637479085331845
6,958,0.9607843137254902,0.9718162839248434,0.9662688116242866
7,1028,0.9715686274509804,0.9640077821011673,0.9677734375
8,974,0.9450661241098678,0.9537987679671458,0.9494123658661217
9,1009,0.9683673469387755,0.9405351833498513,0.954248366013072
