model,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,seconds
mlp,1,0.5622224061047589,0.8488703703703704,0.28559696515401206,0.9168333333333333,0.15761683299206197
mlp,2,0.22657359596093496,0.9351851851851852,0.20779479789733887,0.9385,0.14033899997593835
mlp,3,0.1722174327329353,0.9500740740740741,0.16514783096313476,0.9506666666666667,0.11696854198817164
mlp,4,0.13664340450366338,0.9603703703703703,0.1483916098276774,0.9545,0.14017216698266566
mlp,5,0.11195510469984125,0.9667037037037037,0.1202349157333374,0.9621666666666666,0.183389208978042
cnn,1,0.5289214892696451,0.8510555555555556,0.19182694180806478,0.943,9.810307417006698
cnn,2,0.13326091415021155,0.9600185185185185,0.11315675671895345,0.9671666666666666,7.810892749985214
cnn,3,0.08391228368767986,0.9751296296296297,0.07781087144215902,0.9781666666666666,8.41428220900707
cnn,4,0.06347915228649421,0.9811851851851852,0.06667749627431234,0.9803333333333333,8.224976375000551
cnn,5,0.05301556338204278,0.9833148148148149,0.05912308390935262,0.9841666666666666,8.374280166986864
